line,Individual,population,area_cm2
13,2,Gabriola,6.952
13,3,Gabriola,34.77
13,4,Gabriola,79.063
14,1,Gabriola,67.906
14,2,Gabriola,172.209
14,3,Gabriola,109.489
14,4,Gabriola,15.096
3,1,Victoria,32.991
3,2,Victoria,52.041
3,3,Victoria,34.344
3,4,Victoria,32.179
3,5,Victoria,55.552
3,6,Victoria,50.882
3,7,Victoria,26.783
3,8,Victoria,11.962
3,9,Victoria,74.089
3,10,Victoria,170.189
3,11,Victoria,79.499
3,12,Victoria,72.181
6,1,Victoria,43.481
6,2,Victoria,28.566
6,3,Victoria,11.184
6,4,Victoria,35.013
6,5,Victoria,23.167
6,6,Victoria,111.383
6,7,Victoria,53.542
6,8,Victoria,206.77
6,9,Victoria,42.081
6,11,Victoria,140.501
6,10,Victoria,101.353
6,12,Victoria,411.157
11,1,Victoria,36.02
11,3,Victoria,64.274
11,4,Victoria,32.665
11,5,Victoria,17.751
11,6,Victoria,38.951
11,7,Victoria,67.139
11,8,Victoria,77.428
11,9,Victoria,22.695
1,2,Vancouver,29.213
1,3,Vancouver,26.15
1,5,Vancouver,9.165
1,6,Vancouver,47.695
1,7,Vancouver,20.181
1,8,Vancouver,260.033
1,9,Vancouver,145.985
1,10,Vancouver,96.935
1,11,Vancouver,244.415
1,12,Vancouver,205.285
5,1,Vancouver,44.083
5,2,Vancouver,18.408
5,3,Vancouver,14.647
5,4,Vancouver,37.366
5,5,Vancouver,14.249
5,6,Vancouver,24.399
5,7,Vancouver,23.728
5,8,Vancouver,305.375
5,9,Vancouver,157.759
5,10,Vancouver,86.385
5,11,Vancouver,73.242
5,12,Vancouver,87.834
10,1,Vancouver,161.293
10,2,Vancouver,32
10,3,Vancouver,36.87
10,4,Vancouver,31.387
10,5,Vancouver,34.824
10,6,Vancouver,23.141
10,7,Vancouver,50.227
10,9,Vancouver,101.591
10,10,Vancouver,100.134
10,11,Vancouver,103.911
10,12,Vancouver,114.705
2,1,Oyster River,86.373
2,2,Oyster River,86.974
2,3,Oyster River,99.129
2,4,Oyster River,133.935
2,5,Oyster River,134.916
2,6,Oyster River,81.443
2,7,Oyster River,70.696
2,8,Oyster River,354.567
2,9,Oyster River,145.188
2,10,Oyster River,258.749
2,11,Oyster River,251.478
2,12,Oyster River,133.251
7,1,Oyster River,246.723
7,2,Oyster River,180.629
7,3,Oyster River,192.221
7,4,Oyster River,66.099
7,5,Oyster River,116.972
7,6,Oyster River,138.04
7,7,Oyster River,179.203
7,8,Oyster River,428.134
7,9,Oyster River,336.446
7,10,Oyster River,182.06
7,11,Oyster River,247.884
7,12,Oyster River,186.254
12,1,Oyster River,50.307
12,2,Oyster River,240.063
12,3,Oyster River,130.921
12,4,Oyster River,160.327
12,5,Oyster River,144.291
12,6,Oyster River,210.653
12,7,Oyster River,180.813
12,8,Oyster River,105.734
12,9,Oyster River,624.913
12,10,Oyster River,603.231
12,11,Oyster River,709.211
4,1,Browns Bay,21.48
4,2,Browns Bay,37.784
4,3,Browns Bay,51.011
4,4,Browns Bay,46.598
4,5,Browns Bay,100.076
4,6,Browns Bay,68.904
4,7,Browns Bay,87.48
4,8,Browns Bay,87.468
4,9,Browns Bay,141.609
4,10,Browns Bay,341.6
4,11,Browns Bay,179.557
4,12,Browns Bay,260.042
8,1,Browns Bay,14.951
8,2,Browns Bay,93.571
8,3,Browns Bay,90.101
8,4,Browns Bay,36.193
8,5,Browns Bay,39.04
8,6,Browns Bay,102.892
8,7,Browns Bay,59.792
8,8,Browns Bay,218.967
8,9,Browns Bay,147.425
8,10,Browns Bay,74.023
8,11,Browns Bay,184.582
8,12,Browns Bay,38.967
9,1,Browns Bay,37.922
9,2,Browns Bay,36.788
9,3,Browns Bay,120.884
9,4,Browns Bay,40.095
9,5,Browns Bay,37.129
9,6,Browns Bay,63.772
9,7,Browns Bay,31.623
9,8,Browns Bay,215.986
9,9,Browns Bay,282.755
9,10,Browns Bay,64.064
9,11,Browns Bay,106.695
9,12,Browns Bay,92.519
