population,line,individual,blade_location,smaller_area_measured,hole_punch_farther_than_4cm,end_farther_than_4cm,blade_location_original,measurement_specifics,"Area (60x60 circle, should be 2828pixels^2)",mean_grey_scale,min_grey_scale,max_grey_scale,weight_of_hole_punch_mg,NOTES,NOTES
Victoria,3,1,hole punch,no,no,no,hole punch,,2828,121,94,187,1,"general note: Due to the drastic difference of size, the smaller, less successful frond ends are closer to the stipe which would result in a darker colour. ","Missing from bleached kelp photo analysis:
1.1
1.4
9.12 (but there were 2 x 9.11)
10.8
11.2
11.11
12.4 (first blade is missing. we have one photo labelled second blade)
12.12"
Victoria,3,1,middle,no,no,no,middle,,2828,153.953,125,172,1,,
Victoria,3,1,end,no,no,no,end,,2828,167.428,147,177,1,,
Victoria,3,2,hole punch,no,no,no,hole punch,,2828,123.377,102,136,1.191,,
Victoria,3,2,middle,no,no,no,middle,,2828,138.987,116,152,1.191,,
Victoria,3,2,end,no,no,no,end,,2828,156.421,99,186,1.191,,
Victoria,3,3,hole punch,no,no,no,hole punch,,2828,142.678,101,191,0.859,,
Victoria,3,3,middle,no,no,no,middle,,2828,149.413,103,167,0.859,,
Victoria,3,3,end,no,no,no,end,,2828,163.372,114,179,0.859,,
Victoria,3,4,hole punch,no,no,no,hole punch,,2828,95.384,70,125,0.905,,
Victoria,3,4,middle,no,no,no,middle,,2828,130.255,84,150,0.905,,
Victoria,3,4,end,yes,no,no,end smaller,,1124,153.483,82,176,0.905,,
Victoria,3,5,hole punch,no,no,no,hole punch,,2828,151.977,81,172,1.621,,
Victoria,3,5,middle,no,no,no,middle,,2828,148.462,93,169,1.621,,
Victoria,3,6,hole punch,no,no,no,hole punch,,2828,122.514,104,134,0.767,,
Victoria,3,6,middle,no,no,no,middle,,2828,125.676,80,151,0.767,,
Victoria,3,6,end,no,no,no,end,,2828,141.865,58,164,0.767,,
Victoria,3,7,hole punch,no,no,no,hole punch,,2828,125.592,94,137,1.008,,
Victoria,3,7,end,no,no,no,end,,2828,139.545,70,155,1.008,,
Victoria,3,8,hole punch,yes,no,no,hole punch smaller,,1156,101.597,58,132,1.094,,
Victoria,3,8,middle,no,no,no,middle,,2828,114.551,82,137,1.094,,
Victoria,3,9,end,no,no,no,end,,2828,97.89,84,109,0.825,,
Victoria,3,9,hole punch,no,yes,no,hole punch,,2828,112.477,93,127,0.825,,
Victoria,3,10,stipe,no,no,no,stipe,,2828,81.353,62,94,1.202,,
Victoria,3,10,hole punch,no,yes,no,hole punch,,2828,117.638,99,127,1.202,,
