population,line_number,kelp_individual,hole_punch_date,hole_punch_distance_initial_cm,stipe_length_initial_cm,hole_punch_measurement_date,hole_punch_distance_final_outer1_cm,hole_punch_distance_final_outer2_cm,hole_punch_distance_final_inner1_cm,hole_punch_distance_final_inner2_cm,stipe_length_final_cm,stipe_width_cm,bulb_length_cm,bulb_diameter_cm,pre_bulb_diameter_cm,blade_length_longest_cm,blade_width_longest_cm,weight_wet_g,DNA_sample,RNA_sample,photos,
Vancouver,1,1,2023-05-25,4.2,58,2023-06-06,4.2,3.8,NA,NA,61.0,0.30,3.8,3.3,0.70,6.3,3.2,24,yes - blade,no,027.NEF,
Vancouver,1,2,2023-05-25,4.2,52.5,2023-06-06,5.9,NA,6.5,NA,55.0,0.21,3.4,2.8,0.60,13.0,3.3,18,yes - blade,no,028.NEF,
Vancouver,1,3,2023-05-25,4.2,42.5,2023-06-06,6.8,7,6.1,NA,45.0,0.21,3.6,3.0,0.60,11.5,3.1,23,yes - blade,no,029.NEF,
Vancouver,1,4,2023-05-25,4.2,54,2023-06-06,NA,NA,NA,NA,53.5,0.25,3.7,3.1,0.50,4.7,2.5,20,yes - blade,no,030.NEF,
Vancouver,1,5,2023-05-25,4.2,50,2023-06-06,NA,NA,NA,NA,52.0,0.21,3.1,2.8,0.50,5.3,3.2,16,yes - blade,no,031.NEF,
Vancouver,1,6,2023-05-25,4.2,56,2023-06-06,7.7,6.8,7.5,9.1,56.5,0.29,4.2,3.6,0.80,16.0,5.5,38,yes - blade,no,032.NEF,
Vancouver,1,7,2023-05-25,4.2,52.5,2023-06-06,5.8,NA,6.2,NA,54.5,0.20,3.7,3.2,0.60,10.0,2.6,22,yes - blade,no,033.NEF,
Vancouver,1,8,NA,NA,NA,2023-06-08,NA,NA,NA,NA,216.6,0.50,5.0,4.4,1.50,67.2,5.0,248,yes - blade,no,049.NEF,
Vancouver,1,9,NA,NA,NA,2023-06-08,NA,NA,NA,NA,216.5,0.42,5.2,4.3,1.50,40.0,5.3,204,yes - blade,no,050.NEF,
Vancouver,1,10,NA,NA,NA,2023-06-08,NA,NA,NA,NA,203.8,0.29,4.9,3.8,1.20,31.7,3.4,81,yes - blade,no,051.NEF,
Vancouver,1,11,NA,NA,NA,2023-06-08,NA,NA,NA,NA,238.7,0.36,5.3,4.5,1.70,45.3,6.0,231,yes - blade,no,052.NEF,
Vancouver,1,12,NA,NA,NA,2023-06-08,NA,NA,NA,NA,200.0,0.36,5.6,4.4,1.50,56.5,5.2,157,yes - blade,no,053.NEF,
Oyster River,2,1,2023-05-26,4.2,62,2023-06-07,11.5,13.5,13.1,14,66.0,0.30,4.6,4.0,0.90,31.4,3.2,57,yes - blade,yes - blade 10cm,027.NEF,
Oyster River,2,2,2023-05-26,4.2,44.5,2023-06-07,11.4,11.1,12.5,NA,46.9,0.30,3.9,3.1,0.80,24.5,4.0,31,yes - blade,yes - blade 10cm,028.NEF,
Oyster River,2,3,2023-05-26,4.2,53.2,2023-06-07,12.4,11.1,13.7,13,50.6,0.30,3.9,3.4,0.70,26.5,4.7,37,yes - blade,yes - blade 10cm,029.NEF,
Oyster River,2,4,2023-05-26,4.2,47.5,2023-06-07,13,12.4,13.4,12.4,50.3,0.30,4.5,3.6,0.90,34.0,5.4,46,yes - blade,yes - blade 10cm,030.NEF,
Oyster River,2,5,2023-05-26,4.2,72,2023-06-07,12.3,11.5,12.4,13.2,74.2,0.30,5.0,4.4,1.00,38.7,5.6,62,yes - blade,yes - blade 10cm,031.NEF,
Oyster River,2,6,2023-05-26,4.2,51.2,2023-06-07,8.7,10.3,9.6,10.5,51.7,0.20,3.7,3.5,0.60,23.7,4.3,29,yes - blade,yes - blade 10cm,032.NEF,blade about to split
Oyster River,2,7,2023-05-26,4.2,65,2023-06-07,9.1,9.9,9.8,11,68.1,0.30,4.0,3.8,0.70,23.8,4.2,,yes - blade,yes - blade 10cm,,
Oyster River,2,8,NA,NA,NA,2023-06-08,NA,NA,NA,NA,176.0,0.47,5.2,4.8,1.50,56.0,5.0,221,yes - blade,yes - blade 10cm; holdfast; stipe,079.NEF,"RNA = stipe, holdfast, 10cm"
Oyster River,2,9,NA,NA,NA,2023-06-08,NA,NA,NA,NA,126.0,0.35,4.9,4.3,1.00,44.0,4.5,76,yes - blade,no,080.NEF,
Oyster River,2,10,NA,NA,NA,2023-06-08,NA,NA,NA,NA,137.5,0.40,5.2,4.9,1.40,49.5,6.0,187,yes - blade,no,081.NEF,
Oyster River,2,11,NA,NA,NA,2023-06-08,NA,NA,NA,NA,164.0,0.42,5.4,5.0,1.70,48.0,7.0,207,yes - blade,no,,
Oyster River,2,12,NA,NA,NA,2023-06-08,NA,NA,NA,NA,107.0,0.21,4.2,4.3,1.00,35.0,4.0,72,yes - blade,no,,
Victoria,3,1,2023-05-25,4.2,49,2023-06-06,6.2,6.9,7.4,6.3,50.0,0.49,NA,4.3,0.80,20.0,3.0,56,yes - blade,yes - blade 10cm,003.NEF,
Victoria,3,2,2023-05-25,4.2,91,2023-06-06,9.5,9.7,NA,NA,92.0,0.47,NA,5.6,1.20,33.0,2.7,130,yes - blade,yes - blade 1cm; blade 10cm; blade end; bulb; stipe; holdfast,004.NEF,
Victoria,3,3,2023-05-25,4.2,37,2023-06-06,4.9,6,NA,NA,38.5,0.42,NA,4.0,0.90,20.0,4.1,46,yes - blade,yes - blade 10cm,005.NEF,RNA sample touched tube #7
Victoria,3,4,2023-05-25,4.2,70.5,2023-06-06,5.6,5.7,7.2,NA,72.0,0.31,NA,4.5,0.90,14.5,3.7,51,yes - blade,yes - blade 10cm,006.NEF,
