number,date,temp
1,01/04/23 10:00:00 AM,11.431
2,01/04/23 10:30:00 AM,9.768
3,01/04/23 11:00:00 AM,12.980
4,01/04/23 11:30:00 AM,8.082
5,01/04/23 12:00:00 PM,8.082
6,01/04/23 12:30:00 PM,8.082
7,01/04/23 01:00:00 PM,8.082
8,01/04/23 01:30:00 PM,7.983
9,01/04/23 02:00:00 PM,7.983
10,01/04/23 02:30:00 PM,7.983
11,01/04/23 03:00:00 PM,7.983
12,01/04/23 03:30:00 PM,7.983
13,01/04/23 04:00:00 PM,7.983
14,01/04/23 04:30:00 PM,7.983
15,01/04/23 05:00:00 PM,7.983
16,01/04/23 05:30:00 PM,7.983
17,01/04/23 06:00:00 PM,7.983
18,01/04/23 06:30:00 PM,7.983
19,01/04/23 07:00:00 PM,7.983
20,01/04/23 07:30:00 PM,7.983
21,01/04/23 08:00:00 PM,7.983
22,01/04/23 08:30:00 PM,7.882
23,01/04/23 09:00:00 PM,7.882
24,01/04/23 09:30:00 PM,7.882
25,01/04/23 10:00:00 PM,7.882
26,01/04/23 10:30:00 PM,7.983
27,01/04/23 11:00:00 PM,7.882
28,01/04/23 11:30:00 PM,7.983
29,01/05/23 12:00:00 AM,7.983
30,01/05/23 12:30:00 AM,7.983
31,01/05/23 01:00:00 AM,7.983
32,01/05/23 01:30:00 AM,8.082
33,01/05/23 02:00:00 AM,8.082
34,01/05/23 02:30:00 AM,7.983
35,01/05/23 03:00:00 AM,8.082
36,01/05/23 03:30:00 AM,8.082
37,01/05/23 04:00:00 AM,8.082
38,01/05/23 04:30:00 AM,7.983
39,01/05/23 05:00:00 AM,7.983
40,01/05/23 05:30:00 AM,7.983
41,01/05/23 06:00:00 AM,7.983
42,01/05/23 06:30:00 AM,7.983
43,01/05/23 07:00:00 AM,7.983
44,01/05/23 07:30:00 AM,7.983
45,01/05/23 08:00:00 AM,7.983
46,01/05/23 08:30:00 AM,7.983
47,01/05/23 09:00:00 AM,7.983
48,01/05/23 09:30:00 AM,7.983
49,01/05/23 10:00:00 AM,7.983
50,01/05/23 10:30:00 AM,7.983
51,01/05/23 11:00:00 AM,7.983
52,01/05/23 11:30:00 AM,7.983
53,01/05/23 12:00:00 PM,8.182
54,01/05/23 12:30:00 PM,8.382
55,01/05/23 01:00:00 PM,8.382
56,01/05/23 01:30:00 PM,8.382
57,01/05/23 02:00:00 PM,8.282
58,01/05/23 02:30:00 PM,8.182
59,01/05/23 03:00:00 PM,8.082
60,01/05/23 03:30:00 PM,7.983
61,01/05/23 04:00:00 PM,7.983
62,01/05/23 04:30:00 PM,7.983
63,01/05/23 05:00:00 PM,7.983
64,01/05/23 05:30:00 PM,7.882
65,01/05/23 06:00:00 PM,7.983
66,01/05/23 06:30:00 PM,7.983
67,01/05/23 07:00:00 PM,7.682
68,01/05/23 07:30:00 PM,7.782
69,01/05/23 08:00:00 PM,7.882
70,01/05/23 08:30:00 PM,7.882
71,01/05/23 09:00:00 PM,7.983
72,01/05/23 09:30:00 PM,7.882
73,01/05/23 10:00:00 PM,7.882
74,01/05/23 10:30:00 PM,7.882
75,01/05/23 11:00:00 PM,7.983
76,01/05/23 11:30:00 PM,7.983
77,01/06/23 12:00:00 AM,7.882
78,01/06/23 12:30:00 AM,7.983
79,01/06/23 01:00:00 AM,8.082
80,01/06/23 01:30:00 AM,8.082
81,01/06/23 02:00:00 AM,7.983
82,01/06/23 02:30:00 AM,8.082
83,01/06/23 03:00:00 AM,8.082
84,01/06/23 03:30:00 AM,8.082
85,01/06/23 04:00:00 AM,7.882
86,01/06/23 04:30:00 AM,8.082
87,01/06/23 05:00:00 AM,8.382
88,01/06/23 05:30:00 AM,8.382
89,01/06/23 06:00:00 AM,8.382
90,01/06/23 06:30:00 AM,8.282
91,01/06/23 07:00:00 AM,8.282
92,01/06/23 07:30:00 AM,8.282
93,01/06/23 08:00:00 AM,8.182
94,01/06/23 08:30:00 AM,8.182
95,01/06/23 09:00:00 AM,8.182
96,01/06/23 09:30:00 AM,8.082
97,01/06/23 10:00:00 AM,8.282
98,01/06/23 10:30:00 AM,8.082
99,01/06/23 11:00:00 AM,8.082
100,01/06/23 11:30:00 AM,8.182
101,01/06/23 12:00:00 PM,8.182
102,01/06/23 12:30:00 PM,8.182
103,01/06/23 01:00:00 PM,8.082
104,01/06/23 01:30:00 PM,8.082
105,01/06/23 02:00:00 PM,8.082
106,01/06/23 02:30:00 PM,8.082
107,01/06/23 03:00:00 PM,8.082
108,01/06/23 03:30:00 PM,8.082
109,01/06/23 04:00:00 PM,8.082
110,01/06/23 04:30:00 PM,8.082
111,01/06/23 05:00:00 PM,8.082
112,01/06/23 05:30:00 PM,8.082
113,01/06/23 06:00:00 PM,8.082
114,01/06/23 06:30:00 PM,8.082
115,01/06/23 07:00:00 PM,8.082
116,01/06/23 07:30:00 PM,8.082
117,01/06/23 08:00:00 PM,8.082
118,01/06/23 08:30:00 PM,8.082
119,01/06/23 09:00:00 PM,8.082
120,01/06/23 09:30:00 PM,8.082
121,01/06/23 10:00:00 PM,8.082
122,01/06/23 10:30:00 PM,8.082
123,01/06/23 11:00:00 PM,8.082
124,01/06/23 11:30:00 PM,8.082
125,01/07/23 12:00:00 AM,8.082
126,01/07/23 12:30:00 AM,8.082
127,01/07/23 01:00:00 AM,8.082
128,01/07/23 01:30:00 AM,8.082
129,01/07/23 02:00:00 AM,8.082
130,01/07/23 02:30:00 AM,8.082
131,01/07/23 03:00:00 AM,8.182
132,01/07/23 03:30:00 AM,8.082
133,01/07/23 04:00:00 AM,8.082
134,01/07/23 04:30:00 AM,8.082
135,01/07/23 05:00:00 AM,8.082
136,01/07/23 05:30:00 AM,8.082
137,01/07/23 06:00:00 AM,8.182
138,01/07/23 06:30:00 AM,8.182
139,01/07/23 07:00:00 AM,8.082
140,01/07/23 07:30:00 AM,8.082
141,01/07/23 08:00:00 AM,8.182
142,01/07/23 08:30:00 AM,8.182
143,01/07/23 09:00:00 AM,8.182
144,01/07/23 09:30:00 AM,8.082
145,01/07/23 10:00:00 AM,8.082
146,01/07/23 10:30:00 AM,8.082
147,01/07/23 11:00:00 AM,8.082
148,01/07/23 11:30:00 AM,8.182
149,01/07/23 12:00:00 PM,8.082
150,01/07/23 12:30:00 PM,8.082
151,01/07/23 01:00:00 PM,8.082
152,01/07/23 01:30:00 PM,8.082
153,01/07/23 02:00:00 PM,8.082
154,01/07/23 02:30:00 PM,8.082
155,01/07/23 03:00:00 PM,8.082
156,01/07/23 03:30:00 PM,8.182
157,01/07/23 04:00:00 PM,8.182
158,01/07/23 04:30:00 PM,8.182
159,01/07/23 05:00:00 PM,8.082
160,01/07/23 05:30:00 PM,8.082
161,01/07/23 06:00:00 PM,8.082
162,01/07/23 06:30:00 PM,8.182
163,01/07/23 07:00:00 PM,8.082
164,01/07/23 07:30:00 PM,8.182
165,01/07/23 08:00:00 PM,8.182
166,01/07/23 08:30:00 PM,8.182
167,01/07/23 09:00:00 PM,8.182
168,01/07/23 09:30:00 PM,8.182
169,01/07/23 10:00:00 PM,8.182
170,01/07/23 10:30:00 PM,8.182
171,01/07/23 11:00:00 PM,8.182
172,01/07/23 11:30:00 PM,8.182
173,01/08/23 12:00:00 AM,8.182
174,01/08/23 12:30:00 AM,8.182
175,01/08/23 01:00:00 AM,8.182
176,01/08/23 01:30:00 AM,8.182
177,01/08/23 02:00:00 AM,8.182
178,01/08/23 02:30:00 AM,8.182
179,01/08/23 03:00:00 AM,8.282
180,01/08/23 03:30:00 AM,8.481
181,01/08/23 04:00:00 AM,8.282
182,01/08/23 04:30:00 AM,8.282
183,01/08/23 05:00:00 AM,8.282
184,01/08/23 05:30:00 AM,8.282
185,01/08/23 06:00:00 AM,8.282
186,01/08/23 06:30:00 AM,8.282
187,01/08/23 07:00:00 AM,8.282
188,01/08/23 07:30:00 AM,8.282
189,01/08/23 08:00:00 AM,8.282
190,01/08/23 08:30:00 AM,8.282
191,01/08/23 09:00:00 AM,8.282
192,01/08/23 09:30:00 AM,8.282
193,01/08/23 10:00:00 AM,8.182
